# nTracks, CPU (one thread), GPU(track/thread), GPU(track/block) 
5,	0.133277;	4.565664;    2.971872
10,	0.346833;	4.748352;    3.238688
50,	1.65068;	6.549408;    4.520096
100,	2.79862;        8.435232;    6.414048	
500,	12.5615;	16.319744;   23.669024
1000,	26.3594;	23.971840;   43.457054
5000,	130.774;	98.979904;   205.140381
10000,	247.959;	200.340637;  376.783295
