nTracks,time,time_low_error,time_high_error
5,118.971,7.12901,7.12901
10,125.5,3.38221,3.38221
50,161.506,20.4685,20.4685
100,89.4052,5.77008,5.77008
500,94.4437,1.97943,1.97943
1000,91.3017,3.57924,3.57924
5000,128.91,2.19738,2.19738
10000,170.756,14.9826,14.9826
50000,545.963,3.32326,3.32326
100000,1038.78,5.61599,5.61599
