nTracks,time,time_low_error,time_high_error
5,33.0924,10.0339,10.0339
10,32.3245,9.83053,9.83053
50,37.4427,0.90619,0.90619
100,38.4402,0.745682,0.745682
500,44.8401,1.45623,1.45623
1000,54.3648,0.959825,0.959825
5000,118.369,2.70974,2.70974
10000,194.235,1.45874,1.45874
50000,798.839,2.01898,2.01898
100000,1558.47,6.73634,6.73634
