nTracks,time,time_low_error,time_high_error
5,186.31,14.07,12.192
10,186.23,15.148,53.828
50,192.12,21.597,19.294
100,182.89,12.261,27.424
500,183.14,9.561,35.595
1000,189.22,10.924,37.895
5000,183.17,18.901,56.776
10000,235.01,29.122,20.27
50000,487.91,22.442,20.575
