nTracks,time,time_low_error,time_high_error
5,36.45,19.278,5.0444
10,29.69,10.9173,17.1056
50,39.39,14.549,10.9288
100,49.01,.7019,.5596
500,44.17,14.146,10.133
1000,46.14,14.9455,11.255
5000,68.57,11.8252,17.649
10000,97.16,13.7931,12.475
50000,342.79,17.49,6.932
100000,536.09,15.278,17.933
