nTracks,time,time_low_error,time_high_error
5,19.00,.1239,.2012
10,37.88,.2112,.1856
50,188.74,.599,.585
100,377.68,.883,.563
500,1885.84,3.46,3.31
1000,3771.01,1.10,1.64
5000,18865.72,5.52,5.18
10000,37726.92,4.92,9.98
50000,188602.40,88603.40,42.60
100000,377070.60,277071.60,49.40
