nTracks,time,time_low_error,time_high_error
5,7.83,.80126,1.41145
10,11.97,1.8601,2.1793
50,13.41,3.3399,1.8792
100,13.65,1.7632,1.9421
500,28.48,4.5492,9.2302
1000,42.92,12.0133,5.2551
5000,323.28,31.142,43.804
10000,729.81,57.987,26.366
50000,3726.79,171.69,115.09
100000,7373.07,700.50,357.70
