nTracks,time,time_low_error,time_high_error
5,.34,.115774,.103356
10,.52,.075126,.146698
50,2.01,.09995,.11906
100,4.16,.17216,.19983
500,18.50,1.2415,1.1684
1000,46.20,3.5581,4.0245
5000,230.55,8.578,21.229
10000,432.34,14.61,28.848
50000,2219.81,97.44,141.41
100000,4190.46,317.53,332.67
