nTracks,time,time_low_error,time_high_error
5,1.76,.01895,.03997
10,3.32,.02199,.0181
50,15.82,.0384,.067
100,31.55,.0332,.0258
500,155.27,.372,.253
1000,310.60,.511,.436
5000,1547.27,.70,1.59
10000,3091.50,3.91,3.39
50000,15428.32,7.02,5.98
100000,30852.16,17.06,7.64
