nTracks,time,time_low_error,time_high_error
5,118.97,13.293,5.771
10,125.49,3.982,4.529
50,161.50,29.238,26.092
100,89.40,6.8789,7.481
500,94.44,1.9803,3.8057
1000,91.30,6.3369,4.7808
5000,128.90,3.366,2.535
10000,170.75,12.286,29.121
50000,545.96,4.525,5.099
100000,1038.77,7.10,7.79
