nTracks,time,time_low_error,time_high_error
5,111.43,2.956,4.852
10,110.24,2.534,5.515
50,143.17,19.275,16.123
100,92.80,6.802,11.47
500,105.36,1.828,2.324
1000,106.63,.578,.46
5000,136.17,1.143,3.185
10000,173.91,2.693,7.572
50000,503.13,10.587,28.06
100000,929.82,3.852,2.744
