nTracks,time,time_low_error,time_high_error
5,.01,-.0058686,.0207488
10,.01,-.0057792,.0085922
50,.03,.0087043,.0207923
100,.03,.007884,.0197016
500,.02,-.0057951,.0135047
1000,.03,.0019269,.0075035
5000,.06,.004832,.021204
10000,.08,.0030174,.0102195
50000,.35,.018225,.018492
100000,.57,.02174,.058477
