5,9.81,.01506,.02197
10,14.88,.0289,.0409
50,15.31,.9005,.4909
100,13.84,.0869,.1502
500,18.83,.3305,.5247
1000,22.37,1.4589,1.0867
5000,59.10,1.104,.7819
10000,110.22,2.975,9.668
