nTracks,time,time_low_error,time_high_error
5,53.06,4.3409,1.971
10,55.19,1.1304,.4574
50,61.36,4.4336,8.4572
100,58.70,3.8567,2.9999
500,100.13,4.8698,5.711
1000,127.50,3.511,2.862
5000,305.87,16.48,17.051
10000,524.09,25.211,14.585
50000,2196.34,27.90,56.84
100000,4293.15,64.24,50.47
