nTracks,time,time_low_error,time_high_error
5,45.96,29.0632,8.3488
10,45.13,17.7385,10.3924
50,31.28,11.1517,26.9364
100,46.03,20.1512,18.8113
500,52.22,23.0043,16.2796
1000,62.46,30.4641,10.5556
5000,92.22,3.2327,2.6711
10000,108.84,33.3901,15.717
50000,274.36,3.019,3.943
100000,422.17,36.745,28.315
