nTracks,time,time_low_error,time_high_error
5,3.41,.57399,1.48632
10,6.61,.33817,.55037
50,32.91,.738,.3586
100,59.80,4.2867,5.0677
500,312.61,10.43,24.20
1000,598.54,43.394,81.932
5000,3220.10,252.58,199.37
10000,6574.07,452.45,252.24
50000,33413.28,649.08,498.12
100000,62328.44,3682.44,4498.06
