nTracks,time,time_low_error,time_high_error
5,17.78,2.0987,1.7728
10,16.57,1.3163,2.2948
50,18.54,1.8679,1.507
100,21.45,1.1293,1.4957
500,30.37,3.9194,5.5721
1000,32.99,1.9789,1.0421
5000,56.46,6.6932,5.6301
10000,86.51,12.7377,13.621
50000,229.43,41.554,34.979
100000,397.41,63.87,97.079
