nTracks,time,time_low_error,time_high_error
5,12.2662,2.77153,2.77153
10,9.24873,2.44023,2.44023
50,11.7369,3.3093,3.3093
100,11.2701,1.77216,1.77216
500,15.3634,2.07135,2.07135
1000,19.9511,4.3588,4.3588
5000,23.7317,2.10425,2.10425
10000,40.4123,5.79208,5.79208
50000,211.875,22.3548,22.3548
100000,443.482,25.0242,25.0242
