nTracks,time,time_low_error,time_high_error
5,71.66,4.2829,2.6022
10,73.53,4.737,1.6763
50,78.92,8.2486,10.8092
100,50.41,3.3018,4.5061
500,73.70,1.1701,1.8332
1000,94.99,1.9848,2.8431
5000,280.07,4.879,3.834
10000,510.72,3.141,4.008
50000,2340.65,8.80,5.52
100000,4569.61,19.38,24.43
