nTracks,time,time_low_error,time_high_error
5,81.2178,0.707491,0.707491
10,81.5943,0.348617,0.348617
50,88.8274,1.62922,1.62922
100,65.8519,5.55664,5.55664
500,82.2256,0.509273,0.509273
1000,108.415,3.32192,3.32192
5000,287.602,3.75166,3.75166
10000,513.339,3.7528,3.7528
50000,2271.98,5.2466,5.2466
100000,4475.25,6.22778,6.22778
