nTracks,time,time_low_error,time_high_error
5,24.7658,2.10244,2.10244
10,26.6817,6.2037,6.2037
50,27.547,2.36024,2.36024
100,37.0795,8.89479,8.89479
500,33.2796,2.43905,2.43905
1000,45.402,10.8197,10.8197
5000,74.1468,3.33856,3.33856
10000,120.227,11.7159,11.7159
50000,423.66,6.84393,6.84393
100000,756.619,3.03848,3.03848
