nTracks,time,time_low_error,time_high_error
5,11.3576,4.15512,4.15512
10,13.5347,7.93628,7.93628
50,15.2446,3.40324,3.40324
100,19.4219,4.98539,4.98539
500,32.4901,6.21188,6.21188
1000,55.323,7.74378,7.74378
5000,331.728,21.0796,21.0796
10000,692.014,36.0006,36.0006
50000,3776.21,171.535,171.535
100000,7483.72,473.078,473.078
