nTracks,time,time_low_error,time_high_error
5,15.601,1.28572,1.28572
10,17.3973,2.25766,2.25766
50,16.1679,1.46705,1.46705
100,16.1686,0.933645,0.933645
500,30.3748,15.3257,15.3257
1000,37.1071,11.7787,11.7787
5000,83.1984,2.79034,2.79034
10000,147.971,7.74452,7.74452
50000,630.072,10.1517,10.1517
100000,1250.55,16.2632,16.2632
